model	task	prompting	request_type	limit	batch_size	batch_size_requested	device	dtype	requests	identical	max_abs_diff	wall_seconds	verdict
Qwen/Qwen3-0.6B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	125	PASS
Qwen/Qwen3-1.7B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	132	PASS
Qwen/Qwen3-4B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	163	PASS
Qwen/Qwen3-8B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	208	PASS
allenai/OLMo-2-1124-7B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	247	PASS
mistralai/Mistral-7B-v0.3	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	183	PASS
unsloth/Meta-Llama-3.1-8B	arc_challenge	direct	loglikelihood	all	16	16	cuda	bfloat16	4687	4687	0.000e+00	190	PASS
EleutherAI/pythia-160m	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	66	PASS
HuggingFaceTB/SmolLM2-135M	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	105	PASS
HuggingFaceTB/SmolLM3-3B	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	250	PASS
Qwen/Qwen2.5-0.5B	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	109	PASS
Qwen/Qwen3-0.6B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	173	PASS
Qwen/Qwen3-0.6B	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	125	PASS
Qwen/Qwen3-1.7B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	189	PASS
Qwen/Qwen3-4B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	242	PASS
Qwen/Qwen3-8B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	314	PASS
allenai/OLMo-2-0425-1B	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	181	PASS
allenai/OLMo-2-1124-7B	arc_easy	direct	loglikelihood	all	16	16	cuda	bfloat16	9501	9501	0.000e+00	334	PASS
hf-internal-testing/tiny-random-CohereForCausalLM	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	57	PASS
hf-internal-testing/tiny-random-MistralForCausalLM	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	52	PASS
microsoft/Phi-3-mini-4k-instruct	arc_easy	direct	loglikelihood	all	64	auto	cuda	bfloat16	9501	9501	0.000e+00	203	PASS
